,Bearing 1,Bearing 2,Bearing 3,Bearing 4
2003-10-22 12:06:24,0.10414384765625,0.10024975585937498,0.10715097656250001,0.10200180664062501
2003-10-22 12:09:13,0.103651953125,0.09985283203124999,0.10818994140625,0.10292197265625
2003-10-22 12:14:13,0.10503623046874999,0.101540087890625,0.10854829101562499,0.10404067382812499
2003-10-22 12:19:13,0.104897509765625,0.10157001953125,0.10815019531249999,0.10337939453125
2003-10-22 12:24:13,0.10477573242187499,0.102188037109375,0.10794282226562499,0.10262578124999999
2003-10-22 12:29:13,0.105227880859375,0.101733837890625,0.10767792968749998,0.10230830078125
2003-10-22 12:34:13,0.10503481445312499,0.10104169921874999,0.10828339843749998,0.10279492187500001
2003-10-22 12:39:13,0.10477006835937501,0.1013822265625,0.107296826171875,0.10293662109374999
2003-10-22 12:44:13,0.105179345703125,0.10175009765624998,0.1084056640625,0.10315820312499999
2003-10-22 12:49:13,0.10438359374999999,0.10131352539062502,0.106928271484375,0.102472900390625
2003-10-22 12:54:13,0.10468466796875,0.10186718749999998,0.107251416015625,0.102193994140625
2003-10-22 12:59:13,0.10416069335937501,0.101689892578125,0.107349169921875,0.103117431640625
2003-10-22 13:04:13,0.10392612304687501,0.10127919921874999,0.107171240234375,0.102666455078125
2003-10-22 13:09:13,0.10424541015625,0.1012546875,0.1070669921875,0.10282607421875001
2003-10-22 13:14:13,0.1043310546875,0.10121469726562501,0.10693144531250001,0.101889501953125
2003-10-22 13:19:13,0.107219140625,0.10384560546874999,0.10730185546875,0.102186376953125
2003-10-22 13:24:13,0.10569252929687498,0.10132021484375,0.10842177734375,0.10270302734374999
2003-10-22 13:29:13,0.10617543945312499,0.102664501953125,0.108584375,0.102963916015625
2003-10-22 13:34:13,0.104756494140625,0.101476123046875,0.10823037109375,0.10358261718750002
2003-10-22 13:39:13,0.10532021484375001,0.10217529296875001,0.10749829101562498,0.10254633789062499
2003-10-22 13:44:13,0.105495263671875,0.10123588867187501,0.10845541992187499,0.1033943359375
2003-10-22 13:49:13,0.10625087890625,0.1028482421875,0.10810600585937499,0.10262241210937499
2003-10-22 13:54:13,0.10526420898437501,0.10217353515625001,0.10861455078125,0.10262597656250001
2003-10-22 13:59:13,0.10609321289062501,0.102648046875,0.107700244140625,0.1028197265625
2003-10-22 14:04:13,0.104521923828125,0.100975927734375,0.10767622070312499,0.102294921875
2003-10-22 14:09:13,0.10487617187500001,0.100802783203125,0.10844619140625,0.10236865234375
2003-10-22 14:14:13,0.10581723632812501,0.10157397460937498,0.10766621093749999,0.102092822265625
2003-10-22 14:19:13,0.10536162109375,0.101423974609375,0.10925200195312498,0.10337822265625
2003-10-22 14:24:13,0.106014990234375,0.10192587890625,0.108423486328125,0.102163916015625
2003-10-22 14:29:13,0.10600590820312501,0.102603955078125,0.10742871093749999,0.10214506835937501
2003-10-22 14:34:13,0.10524599609375,0.10118544921875001,0.10856474609375,0.10273935546874999
2003-10-22 14:39:13,0.10542148437500001,0.10129941406250001,0.10845585937500002,0.10238505859374998
2003-10-22 14:44:13,0.106037060546875,0.102083935546875,0.108607763671875,0.10259345703125
2003-10-22 14:49:13,0.105147509765625,0.10179023437499998,0.107768017578125,0.10227529296875
2003-10-22 14:54:13,0.10543662109375,0.10154721679687499,0.10790771484374999,0.102155419921875
